Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,0.0,64460736,5,5,289,935,289,0,57.8,129.2447291,935,0,187.0,418.1447118,18.98830321,0.155133196,7162304.0,21400000.0,64300000,5,64400000,16100000.0,32100000.0,64300000,8177,64500000,16100000.0,32200000.0,64400000,23,0,0,0,0,168,168,0.077566598,0.077566598,0,935,111.2727273,286.6266181,82154.81818,0,0,0,0,1,1,0,0,1,122.4,57.8,187.0,0,0,0,0,0,0,5,289,5,935,225,219,1,32,35960.0,0.0,35960,35960,64300000.0,0.0,64300000,64300000,DoS
80,6,0.0,1675,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1194.029851,1675.0,0.0,1675,1675,1675,1675.0,0.0,1675,1675,0,0.0,0.0,0,0,0,0,0,0,40,0,1194.029851,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,0.0,5008620,4,4,646,364,646,0,161.5,323.0,364,0,91.0,182.0,201.6523513463,1.5972463473,715517.142857143,1865270.88383934,4945257,19,63363,21121.0,35544.0770312017,62163,383,5008594,1669531.33333333,2888779.04353766,5005206,1193,0,0,0,0,92,92,0.7986231736,0.7986231736,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,0,1,1,126.25,161.5,91.0,0,0,0,0,0,0,4,646,4,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BruteForce
80,6,0.0,202,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9900.990099,202.0,0.0,202,202,202,202.0,0.0,202,202,0,0.0,0.0,0,0,0,0,0,0,40,0,9900.990099,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
80,6,0.0,2851,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,701.5082427,2851.0,0.0,2851,2851,2851,2851.0,0.0,2851,2851,0,0.0,0.0,0,0,0,0,0,0,64,0,701.5082427,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
3389,6,0.0,1691516,8,7,1128,1581,661,0,141.0,222.6233206,1173,0,225.8571429,430.0986044,1601.521948,8.867784875,120822.5714,245447.9716,953182,3,1691516,241645.1429,391246.0182,1123549,3,1583583,263930.5,338468.7647,953182,109672,0,0,0,0,172,152,4.729485266,4.138299608,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
20000,6,0.0,293,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6825.938567,293.0,0.0,293,293,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,3412.969283,3412.969283,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
443,6,0.0,64395623,11,15,581,5130,194,0,52.8181818182,75.9694914842,1460,0,342.0,584.7432892182,88.6861518523,0.4037541496,2575824.92,11686276.7153965,58404589,0,58702663,5870266.3,18458765.9873672,58404589,201,64383993,4598856.64285714,15601844.8317188,58543584,0,0,0,0,0,232,312,0.1708190633,0.2329350863,0,1460,211.5185185185,456.6527354541,208531.720797721,0,0,0,1,0,0,0,0,1,219.6538461538,52.8181818182,342.0,0,0,0,0,0,0,11,581,15,5130,8192,31,5,20,149037.0,100949.392509316,220419,77655,32048774.0,37272751.0203963,58404589,5692959,Benign
80,6,0.0,6454,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,309.8853424,6454.0,0.0,6454,6454,6454,6454.0,0.0,6454,6454,0,0.0,0.0,0,0,0,0,0,0,40,0,309.8853424,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,0.0,14607,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,136.9206545,14607.0,0.0,14607,14607,14607,14607.0,0.0,14607,14607,0,0.0,0.0,0,0,0,0,0,0,40,0,136.9206545,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,0.0,802,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,809226.932668329,8728.1795511222,133.6666666667,96.6181487437,281,1,488,244.0,132.9360748631,338,150,521,173.6666666667,176.6248378154,354,1,0,0,0,0,72,92,3740.6483790524,4987.5311720698,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,0.0,1845,1,1,42,102,42,42,42.0,0.0,102,102,102.0,0.0,78048.78049,1084.01084,1845.0,0.0,1845,1845,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,542.0054201,542.0054201,42,102,62.0,34.64101615,1200.0,0,0,0,0,0,0,0,0,1,93.0,42.0,102.0,0,0,0,0,0,0,1,42,1,102,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
53,17,0.0,248754,2,2,66,204,33,33,33.0,0.0,102,102,102.0,0.0,1085.409682,16.08014343,82918.0,142048.5272,246941,552,248202,248202.0,0.0,248202,248202,247493,247493.0,0.0,247493,247493,0,0,0,0,16,16,8.040071717,8.040071717,33,102,60.6,37.79285647,1428.3,0,0,0,0,0,0,0,0,1,75.75,33.0,102.0,0,0,0,0,0,0,2,66,2,204,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22011,6,0.0,88401818,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0226239691,88401818.0,0.0,88401818,88401818,88401818,88401818.0,0.0,88401818,88401818,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0226239691,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,62564,-1,0,20,0.0,0.0,0,0,88401818.0,0.0,88401818,88401818,Benign
22,6,0.0,27180357,12,8,1184,2145,712,0,98.6666666667,209.4031923579,976,0,268.125,409.9883055823,122.4781558241,0.7358255081,1430545.10526316,4424506.18294403,18112955,10,27180357,2470941.54545455,5693109.90025387,18112955,14,8850258,1264322.57142857,3038894.16484587,8152094,2657,0,0,0,0,392,264,0.4414953049,0.2943302032,0,976,158.5238095238,301.9274116485,91160.1619047619,0,0,0,1,0,0,0,0,0,166.45,98.6666666667,268.125,0,0,0,0,0,0,12,1184,8,2145,29200,232,6,32,566916.5,491680.336337035,914587,219246,13023255.0,7197922.76841034,18112955,7933555,Benign
80,6,0.0,23831,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,83.92430028,23831.0,0.0,23831,23831,23831,23831.0,0.0,23831,23831,0,0.0,0.0,0,0,0,0,0,0,64,0,83.92430028,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
80,6,0.0,12343,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,162.0351616,12343.0,0.0,12343,12343,12343,12343.0,0.0,12343,12343,0,0.0,0.0,0,0,0,0,0,0,40,0,162.0351616,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,17,0.0,361,1,1,52,68,52,52,52.0,0.0,68,68,68.0,0.0,332409.9723,5540.166205,361.0,0.0,361,361,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2770.083102,2770.083102,52,68,57.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,86.0,52.0,68.0,0,0,0,0,0,0,1,52,1,68,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
80,6,0.0,15218,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,131.4233145,15218.0,0.0,15218,15218,15218,15218.0,0.0,15218,15218,0,0.0,0.0,0,0,0,0,0,0,40,0,131.4233145,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,0.0,29755,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,67.21559402,29755.0,0.0,29755,29755,29755,29755.0,0.0,29755,29755,0,0.0,0.0,0,0,0,0,0,0,64,0,67.21559402,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
53,17,0.0,23146,2,2,66,130,33,33,33.0,0.0,65,65,65.0,0.0,8467.9858290849,172.8160373283,7715.3333333333,12617.7314257886,22285,403,22688,22688.0,0.0,22688,22688,22743,22743.0,0.0,22743,22743,0,0,0,0,16,16,86.4080186641,86.4080186641,33,65,45.8,17.5271218402,307.2,0,0,0,0,0,0,0,0,1,57.25,33.0,65.0,0,0,0,0,0,0,2,66,2,130,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,0.0,1109,1,1,32,71,32,32,32.0,0.0,71,71,71.0,0.0,92876.46528,1803.42651,1109.0,0.0,1109,1109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,901.7132552,901.7132552,32,71,45.0,22.5166605,507.0,0,0,0,0,0,0,0,0,1,67.5,32.0,71.0,0,0,0,0,0,0,1,32,1,71,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
53,17,0.0,413,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,251815.98062954,4842.6150121065,413.0,0.0,413,413,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2421.3075060533,2421.3075060533,44,60,49.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,0,0,0,0,0,0,1,44,1,60,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
49187,6,0.0,16964,5,2,935,309,935,0,187.0,418.1447118,309,0,154.5,218.4959954,73331.76138,412.6385286,2827.333333,6628.056628,16354,7,16964,4241.0,8304.611891,16697,7,16354,16354.0,0.0,16354,16354,0,0,0,0,124,40,294.7418062,117.8967225,0,935,155.5,333.0087944,110894.8571,0,0,1,1,0,0,0,1,0,177.7142857,187.0,154.5,0,0,0,0,0,0,5,935,2,309,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,0.0,17823,2,2,80,140,40,40,40.0,0.0,70,70,70.0,0.0,12343.60097,224.4291085,5941.0,7911.546815,15000,390,17433,17433.0,0.0,17433,17433,15390,15390.0,0.0,15390,15390,0,0,0,0,16,16,112.2145542,112.2145542,40,70,52.0,16.43167673,270.0,0,0,0,0,0,0,0,0,1,65.0,40.0,70.0,0,0,0,0,0,0,2,80,2,140,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,0.0,1128,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,68262.41135,2659.574468,564.0,779.2316729,1115,13,1128,564.0,779.2316729,1115,13,0,0.0,0.0,0,0,1,0,0,0,60,0,2659.574468,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
443,6,0.0,10118098,7,8,1327,3644,1008,0,189.5714286,369.1494084,1460,0,455.5,604.2596415,491.2978704,1.482492065,722721.2857,2623529.164,9836719,0,281379,46896.5,77287.74128,202313,200,10100000,1443085.0,3772851.753,9998961,0,0,0,0,0,152,172,0.69182963,0.790662435,0,1460,310.6875,499.3670285,249367.4292,0,0,1,1,0,0,0,1,1,331.4,189.5714286,455.5,0,0,0,0,0,0,7,1327,8,3644,8192,58,3,20,281379.0,0.0,281379,281379,9836719.0,0.0,9836719,9836719,Infiltration
80,6,0.0,36324464,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0550593121,36324464.0,0.0,36324464,36324464,36324464,36324464.0,0.0,36324464,36324464,0,0.0,0.0,0,0,0,0,0,0,64,0,0.0550593121,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,221,-1,0,32,0.0,0.0,0,0,36324464.0,0.0,36324464,36324464,DoS
80,6,0.0,35413,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56.47643521,35413.0,0.0,35413,35413,35413,35413.0,0.0,35413,35413,0,0.0,0.0,0,0,0,0,0,0,64,0,56.47643521,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
443,6,0.0,110407842,17,22,1255,5947,315,0,73.82352941,94.64554618,1430,0,270.3181818,388.600589,65.23087373,0.353235778,2905469.526,12400000.0,58100000,0,110000000,6900490.125,18700000.0,58100000,47,110000000,5246062.095,16500000.0,58200000,0,0,0,0,0,352,452,0.15397457,0.199261208,0,1430,180.05,308.7632028,95334.71538,0,0,1,1,0,0,0,1,1,184.6666667,73.82352941,270.3181818,0,0,0,0,0,0,17,1255,22,5947,8192,189,10,20,490046.5,291221.2207,695971,284122,54600000.0,4908114.435,58100000,51100000,Infiltration
80,6,0.0,17977,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,111.2532681,17977.0,0.0,17977,17977,17977,17977.0,0.0,17977,17977,0,0.0,0.0,0,0,0,0,0,0,64,0,111.2532681,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
80,6,0.0,43664,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45.80432393,43664.0,0.0,43664,43664,43664,43664.0,0.0,43664,43664,0,0.0,0.0,0,0,0,0,0,0,40,0,45.80432393,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,0.0,11447,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,174.7182668,11447.0,0.0,11447,11447,11447,11447.0,0.0,11447,11447,0,0.0,0.0,0,0,0,0,0,0,40,0,174.7182668,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,0.0,29082,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,68.77106114,29082.0,0.0,29082,29082,29082,29082.0,0.0,29082,29082,0,0.0,0.0,0,0,0,0,0,0,64,0,68.77106114,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
80,6,0.0,26525,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,75.4005655,26525.0,0.0,26525,26525,26525,26525.0,0.0,26525,26525,0,0.0,0.0,0,0,0,0,0,0,64,0,75.4005655,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
53,17,0.0,349,1,1,35,51,35,35,35.0,0.0,51,51,51.0,0.0,246418.338108883,5730.659025788,349.0,0.0,349,349,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2865.329512894,2865.329512894,35,51,40.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,60.5,35.0,51.0,0,0,0,0,0,0,1,35,1,51,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,0.0,4025047,13,7,1392,392,684,0,107.0769231,195.6133352,291,0,56.0,105.3976597,443.2246381,4.968886078,211844.5789,310710.9464,1089561,22,4025047,335420.5833,398396.3834,1205497,25951,3999079,666513.1667,469608.0772,1429639,156379,0,0,0,0,272,152,3.22977595,1.739110127,0,684,84.95238095,165.1173753,27263.74762,0,0,1,1,0,0,0,1,0,89.2,107.0769231,56.0,0,0,0,0,0,0,13,1392,7,392,8192,62608,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,0.0,619914,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,1279.2096968289,17.7443968034,61991.4,79880.9444113203,155142,66,619846,123969.2,69255.2969613155,155208,82,619848,154962.0,374.2423457244,155501,154657,0,0,0,0,132,112,9.6787618928,8.0656349106,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,0.0,3854,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,518.9413596,3854.0,0.0,3854,3854,3854,3854.0,0.0,3854,3854,0,0.0,0.0,0,0,0,0,0,0,64,0,518.9413596,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS
53,17,0.0,2736,1,1,40,139,40,40,40.0,0.0,139,139,139.0,0.0,65423.97661,730.994152,2736.0,0.0,2736,2736,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,365.497076,365.497076,40,139,73.0,57.15767665,3267.0,0,0,0,0,0,0,0,0,1,109.5,40.0,139.0,0,0,0,0,0,0,1,40,1,139,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
445,6,0.0,173867,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23.00609086,57955.66667,100276.5047,173745,51,173867,86933.5,122870.4098,173816,51,0,0.0,0.0,0,0,0,0,0,0,72,32,17.25456815,5.751522716,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
